year,category,value
1990,CH4,87094.09529938648
1990,CO2,455379.9361664497
1990,GHG,587003.6372941014
1990,GHG-CO2,633243.3056202178
1990,HFC-PFC-mix,3901.5511504
1990,HFCs,6616.886178826656
1990,N2O,36194.40728860535
1990,NF3,18.383797437402855
1990,PFCs,3838.874860955739
1990,SF6,2074.5338014747754
1991,CH4,84511.86077507885
1991,CO2,446193.9862530678
1991,GHG,573555.7539514566
1991,GHG-CO2,618145.2253066766
1991,HFC-PFC-mix,3680.115869333333
1991,HFCs,6159.5009720793
1991,N2O,34748.195911934665
1991,NF3,18.871227171224
1991,PFCs,3523.4186446684125
1991,SF6,2055.211805673165
1992,CH4,81528.14629720009
1992,CO2,431901.7002316268
1992,GHG,554945.6037435737
1992,GHG-CO2,597397.6419547452
1992,HFC-PFC-mix,3672.9046280000002
1992,HFCs,5290.472902324532
1992,N2O,33609.735740150136
1992,NF3,19.408413041874287
1992,PFCs,3198.7491206505974
1992,SF6,2059.102498419284
1993,CH4,79167.10471022259
1993,CO2,426304.6768940994
1993,GHG,546260.0742504215
1993,GHG-CO2,588482.6407383329
1993,HFC-PFC-mix,3672.7380241333335
1993,HFCs,4992.882331340698
1993,N2O,32976.55878785655
1993,NF3,23.278080940613144
1993,PFCs,3174.2319008042127
1993,SF6,2075.4746102713016
1994,CH4,77076.93288615564
1994,CO2,421997.4981727037
1994,GHG,539429.9164328766
1994,GHG-CO2,580717.2033846661
1994,HFC-PFC-mix,3855.9975965333338
1994,HFCs,5127.461987241783
1994,N2O,32253.689516844406
1994,NF3,25.988808611377003
1994,PFCs,2977.3357903529254
1994,SF6,2029.6665816225216
1995,CH4,76146.94661453237
1995,CO2,424648.54063506925
1995,GHG,542533.9256386531
1995,GHG-CO2,584413.449912128
1995,HFC-PFC-mix,4437.0749532
1995,HFCs,5038.798214036886
1995,N2O,32739.830542755757
1995,NF3,41.47716652140089
1995,PFCs,2953.7458758308826
1995,SF6,1882.5322303505218
1996,CH4,75396.28222158509
1996,CO2,433009.55977634975
1996,GHG,550892.8147947674
1996,GHG-CO2,593061.5760252522
1996,HFC-PFC-mix,3962.0749616
1996,HFCs,5540.263505512439
1996,N2O,33080.99846714251
1996,NF3,47.31328819513245
1996,PFCs,2916.763422056873
1996,SF6,1838.0448088524697
1997,CH4,74139.27311872238
1997,CO2,429483.9457054285
1997,GHG,545899.9983411246
1997,GHG-CO2,587686.4733504774
1997,HFC-PFC-mix,4107.244309333334
1997,HFCs,6146.043835997968
1997,N2O,32414.464611031748
1997,NF3,53.06330343436578
1997,PFCs,2697.309393073434
1997,SF6,1673.3626440297792
1998,CH4,72718.15096044948
1998,CO2,428463.5858133371
1998,GHG,543195.8675540433
1998,GHG-CO2,585023.6945932914
1998,HFC-PFC-mix,4229.2167792
1998,HFCs,6770.351124887444
1998,N2O,31816.17750922845
1998,NF3,52.63222731069361
1998,PFCs,2504.807869279297
1998,SF6,1548.9276723069213
1999,CH4,71778.52822917979
1999,CO2,428609.55779789214
1999,GHG,539564.9513265424
1999,GHG-CO2,580845.7424692928
1999,HFC-PFC-mix,4163.817536933333
1999,HFCs,6348.444453198734
1999,N2O,29744.874230751582
1999,NF3,52.5960500202972
1999,PFCs,2311.7905537833444
1999,SF6,1301.9277206486577
2000,CH4,71355.83913142461
2000,CO2,435085.42162441585
2000,GHG,545427.8490840096
2000,GHG-CO2,586863.3061041121
2000,HFC-PFC-mix,2840.9060977333334
2000,HFCs,6448.774488112662
2000,N2O,29657.243760195604
2000,NF3,62.3614596478168
2000,PFCs,2122.8474308129007
2000,SF6,1188.6741817586767
2001,CH4,71319.61920631024
2001,CO2,436636.5018801905
2001,GHG,545902.5922226388
2001,GHG-CO2,587333.6676793867
2001,HFC-PFC-mix,2627.0983945333332
2001,HFCs,6222.859277024945
2001,N2O,29252.61330039275
2001,NF3,58.906101775986805
2001,PFCs,1664.9690718117006
2001,SF6,1102.2440153267373
2002,CH4,70804.60021852971
2002,CO2,437294.250725845
2002,GHG,545712.1794640945
2002,GHG-CO2,587532.4796421863
2002,HFC-PFC-mix,2809.7256290666664
2002,HFCs,6370.675943289357
2002,N2O,28772.66639571699
2002,NF3,109.60711555140601
2002,PFCs,1737.4916349104537
2002,SF6,1022.7934438208032
2003,CH4,71319.56985751043
2003,CO2,444986.88658687734
